ID,ESTACION,FECHA,HORA,LONGITUD,LATITUD,ALTITUD,PM10,PM2_5,NO2,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,FECHA_CORTE,ANIO,MES
329290,SAN_JUAN_DE_LURIGANCHO,2015-03-30,140000,-76.9992,-11.9816,240,92.58,31.3,18.5,LIMA,LIMA,SAN_JUAN_DE_LURIGANCHO,150132,20240430,2015,3
359259,SAN_JUAN_DE_LURIGANCHO,2018-08-30,070000,-76.9992,-11.9816,240,103.8,48.2,31.8,LIMA,LIMA,SAN_JUAN_DE_LURIGANCHO,150132,20240430,2018,8
240964,SANTA_ANITA,2023-10-30,080000,-76.9714,-12.043,253,30.5,21.32,24.3,LIMA,LIMA,SANTA_ANITA,150137,20240430,2023,10
22488,SAN_BORJA,2017-07-26,040000,-77.0077,-12.1086,128,45.24,20.1,70.9,LIMA,LIMA,SAN_BORJA,150130,20240430,2017,7
118044,CAMPO_DE_MARTE,2019-02-19,160000,-77.0432,-12.0705,117,14.38,8.6,NA,LIMA,LIMA,JESUS_MARIA,150113,20240430,2019,2
536402,CARABAYLLO,2020-03-17,060000,-77.0336,-11.9022,179,27.8,5.81,NA,LIMA,LIMA,CARABAYLLO,150106,20240430,2020,3
286292,VILLA_MARIA_DEL_TRIUNFO,2019-09-02,000000,-76.92,-12.1664,272,NA,13.42,15.2,LIMA,LIMA,VILLA_MARIA_DEL_TRIUNFO,150143,20240430,2019,9
84879,CAMPO_DE_MARTE,2015-05-09,190000,-77.0432,-12.0705,117,71.85,29.7,NA,LIMA,LIMA,JESUS_MARIA,150113,20240430,2015,5
431017,SAN_MARTIN_DE_PORRES,2017-07-08,050000,-77.0845,-12.0089,56,45.2,4.8,15.6,LIMA,LIMA,SAN_MARTIN_DE_PORRES,150135,20240430,2017,7
36261,SAN_BORJA,2019-02-20,010000,-77.0077,-12.1086,128,34.8,20.1,NA,LIMA,LIMA,SAN_BORJA,150130,20240430,2019,2
316555,VILLA_MARIA_DEL_TRIUNFO,2023-02-13,230000,-76.92,-12.1664,272,62.6,19.38,6.1,LIMA,LIMA,VILLA_MARIA_DEL_TRIUNFO,150143,20240430,2023,2
2657,SAN_BORJA,2015-04-21,210000,-77.0077,-12.1086,128,NA,23.9,NA,LIMA,LIMA,SAN_BORJA,150130,20240430,2015,4
6310,SAN_BORJA,2015-09-21,020000,-77.0077,-12.1086,128,43.24,17.7,20.4,LIMA,LIMA,SAN_BORJA,150130,20240430,2015,9
506132,CARABAYLLO,2016-10-03,000000,-77.0336,-11.9022,179,52.06,12.3,NA,LIMA,LIMA,CARABAYLLO,150106,20240430,2016,10
344835,SAN_JUAN_DE_LURIGANCHO,2017-01-06,070000,-76.9992,-11.9816,240,58.41,22.6,27.6,LIMA,LIMA,SAN_JUAN_DE_LURIGANCHO,150132,20240430,2017,1
360557,SAN_JUAN_DE_LURIGANCHO,2018-10-23,090000,-76.9992,-11.9816,240,30.08,30,9,LIMA,LIMA,SAN_JUAN_DE_LURIGANCHO,150132,20240430,2018,10
258891,VILLA_MARIA_DEL_TRIUNFO,2016-07-17,070000,-76.92,-12.1664,272,57.18,23.5,22.2,LIMA,LIMA,VILLA_MARIA_DEL_TRIUNFO,150143,20240430,2016,7
288586,VILLA_MARIA_DEL_TRIUNFO,2019-12-06,140000,-76.92,-12.1664,272,NA,10.12,NA,LIMA,LIMA,VILLA_MARIA_DEL_TRIUNFO,150143,20240430,2019,12
254971,VILLA_MARIA_DEL_TRIUNFO,2016-02-04,230000,-76.92,-12.1664,272,190.35,8.6,NA,LIMA,LIMA,VILLA_MARIA_DEL_TRIUNFO,150143,20240430,2016,2
417076,SAN_MARTIN_DE_PORRES,2015-12-05,080000,-77.0845,-12.0089,56,22.8,13.9,14,LIMA,LIMA,SAN_MARTIN_DE_PORRES,150135,20240430,2015,12
136971,CAMPO_DE_MARTE,2021-04-18,070000,-77.0432,-12.0705,117,21.48,14.73,NA,LIMA,LIMA,JESUS_MARIA,150113,20240430,2021,4
553188,CARABAYLLO,2022-02-14,160000,-77.0336,-11.9022,179,71.71,36.11,72.6,LIMA,LIMA,CARABAYLLO,150106,20240430,2022,2
